LoanAmount,City,State,Zip,NAICSCode,BusinessType,NonProfit,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,YearApproved,Lender,Lender 1,Lender_clean,Lender 2,CD
11592,HALEIWA,HI,96712,561520,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,7,05/11/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
39500,PEARL CITY,HI,96782,999990,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/28/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
21500,HONOLULU,HI,96819,424410,CORPORATION,,ASIAN,MALE OWNED,Non-Veteran,4,05/20/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
12347,WAIPAHU,HI,96797,238220,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,1,07/27/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-01
50000,KAMUELA,HI,96743,531190,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
20832.5,PAIA,HI,96779,531210,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,1,05/20/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
4400,HONOLULU,HI,96814,541910,CORPORATION,,ASIAN,MALE OWNED,Non-Veteran,3,05/11/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
52000,WAILUKU,HI,96793,621111,LIMITED LIABILITY COMPANY(LLC),,WHITE,MALE OWNED,Veteran,4,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
21067,KAHULUI,HI,96732,811111,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,05/08/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
6400,KAILUA KONA,HI,96740,561520,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
8985,KAPOLEI,HI,96707,339920,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/01/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
138200,HONOLULU,HI,96816,541330,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,12,04/07/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
54900,KILAUEA,HI,96754,532490,CORPORATION,,WHITE,MALE OWNED,Non-Veteran,9,04/15/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
57355,HONOLULU,HI,96814,446120,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,8,04/28/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
53400,HONOLULU,HI,96826,722511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,18,04/11/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
15900,HONOLULU,HI,96815,448110,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,05/01/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
15000,KAPAA,HI,96746,611620,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,14,04/27/2020,2020,Kaua'i Government Employees' FCU;,Kaua'i Government Employees' FCU,,,HI-02
39334,PEARL CITY,HI,96782,238330,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,0,04/28/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
112672,HANA,HI,96713,445110,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,14,2020-05-18,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
7400,AIEA,HI,96701,423990,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,05/01/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
1000,HAIKU,HI,96708,711510,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,05/07/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-02
2800,HONOLULU,HI,96817,541219,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,05/13/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
6400,HONOLULU,HI,96822,236220,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
14700,PEARL CITY,HI,96782,445110,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,2,05/01/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
6714,KAPAA,HI,96746,711510,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
10267.5,LIHUE,HI,96766,453220,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,3,05/04/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
61500,HONOLULU,HI,96813,531390,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,5,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
20800,KAILUA KONA,HI,96734,621330,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,2020-04-30,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
34800,HONOLULU,HI,96822,621210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,3,04/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
30000,KAPOLEI,HI,96707,811121,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
33142.5,KIHEI,HI,96753,448190,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,04/28/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
8125,KAPOLEI,HI,96707,621320,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,05/21/2020,2020,WebBank,WebBank,,,HI-02
22200,WAIANAE,HI,96792,453110,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,6,04/28/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
15300,HONOLULU,HI,96822,531210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/16/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
9105,HONOLULU,HI,96819,541430,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
75000,HONOLULU,HI,96817,722511,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,3,04/07/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
2800,KIHEI,HI,96753,541512,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,05/07/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
4125,HONOLULU,HI,96818,517919,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,05/01/2020,2020,"JPMorgan Chase Bank, National Association",JPMorgan Chase Bank,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",NATIONAL ASSOCIATION,HI-01
20800,HONOLULU,HI,96825,531210,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,0,04/29/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
83716,HONOLULU,HI,96819,423990,CORPORATION,,ASIAN,MALE OWNED,Non-Veteran,10,06/05/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
6100,KIHEI,HI,96753,812990,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
1284,KAPAA,HI,96746,453220,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,05/08/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
26287.5,LIHUE,HI,96766,541110,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/29/2020,2020,Kaua'i Government Employees' FCU;,Kaua'i Government Employees' FCU,,,HI-02
5000,HONOLULU,HI,96822,722513,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,04/15/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
7100,LIHUE,HI,96766,531110,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/14/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
82700,KAMUELA,HI,96743,522292,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/27/2020,2020,"Flagstar Bank, FSB",Flagstar Bank,"FLAGSTAR BANK, FSB",FSB,HI-02
5927.5,WAILUKU,HI,96793,721310,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,07/28/2020,2020,"Fundbox, Inc.",Fundbox,"FUNDBOX, INC.",INC.,HI-02
18700,HONOLULU,HI,96814,423910,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Non-Veteran,6,04/07/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
69000,HONOLULU,HI,96817,561790,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,05/05/2020,2020,First National Bank Texas,First National Bank Texas,,,HI-01
16035,HONOLULU,HI,96821,713990,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/10/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
94122.5,HONOLULU,HI,96814,621210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,7,04/28/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
5437,HALEIWA,HI,96712,453998,SOLE PROPRIETORSHIP,,UNANSWERED,FEMALE OWNED,Unanswered,1,05/07/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
777.72,KAPAA,HI,96746,424210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,Gather FCU,Gather FCU,,,HI-02
100020,HONOLULU,HI,96814,722513,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,14,04/16/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
5805,HONOLULU,HI,96814,531390,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,05/15/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
59095,KANEOHE,HI,96744,561510,LIMITED LIABILITY PARTNERSHIP,,UNANSWERED,UNANSWERED,Unanswered,9,05/06/2020,2020,"Bank of America, National Association",Bank of America,"BANK OF AMERICA, NATIONAL ASSOCIATION",NATIONAL ASSOCIATION,HI-02
7500,HONOLULU,HI,96825,446130,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,12,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
1625,HONOLULU,HI,96819,722511,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,2020-04-30,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-01
46700,KAILUA KONA,HI,96740,531210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,6,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
14500,HALEIWA,HI,96712,444190,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Unanswered,2,05/11/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
15000,HILO,HI,96720,811111,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,3,04/04/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
15728.12,HALEIWA,HI,96712,722511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,05/09/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-02
80700,HONOLULU,HI,96819,532420,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,11,05/12/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
26700,HONOLULU,HI,96813,448310,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,0,05/03/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
6929,HONOLULU,HI,96816,453910,SOLE PROPRIETORSHIP,,UNANSWERED,MALE OWNED,Non-Veteran,0,05/07/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
7140.83,KAPAA,HI,96746,236118,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/01/2020,2020,Gather FCU,Gather FCU,,,HI-02
3925,KAILUA KONA,HI,96740,541921,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/04/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
13862,KANEOHE,HI,96744,711410,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/12/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
41667,KAILUA KONA,HI,96734,541611,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Unanswered,,04/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
8800,PAHOA,HI,96778,453998,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,0,05/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
61687,MAKAWAO,HI,96768,624120,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,,04/16/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
3795,HONOLULU,HI,96825,621330,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,05/02/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
4425,HONOLULU,HI,96815,812112,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
26177,KAILUA KONA,HI,96734,541330,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Non-Veteran,5,05/14/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-02
38200,HONOLULU,HI,96813,541690,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,3,04/10/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
2867.5,HONOLULU,HI,96817,999990,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,05/07/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
72360,LAHAINA,HI,96761,722310,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,10,04/07/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
67900,KAPOLEI,HI,96707,445299,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,9,04/03/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
4500,HILO,HI,96720,811212,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,05/17/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
9000,KAHULUI,HI,96732,492210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Non-Veteran,4,04/28/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
61600,WAIPAHU,HI,96797,238210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,6,04/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
82500,HONOLULU,HI,96826,561720,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,20,04/11/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
13700,HILO,HI,96720,541110,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,2020-04-30,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
2281,LAHAINA,HI,96761,624410,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,1,08/05/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-02
27500,KANEOHE,HI,96744,812199,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,6,04/08/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
14147,HONOLULU,HI,96816,531210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/28/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
5250,HONOLULU,HI,96826,722513,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
13547,HONOLULU,HI,96815,531210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/15/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
8547,HONOLULU,HI,96817,812112,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/11/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
38332,HONOLULU,HI,96819,424490,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,6,05/07/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
29200,HONOLULU,HI,96816,541199,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
30300,HONOLULU,HI,96815,812111,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,2,04/12/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
